,Frases,distancia
180,"Se a vida não tem preço, nós comportamo-nos sempre como se alguma coisa ultrapassasse, em valor, a vida humana... Mas o quê?",0.6391560817564839
154,O verdadeiro amor nunca se desgasta. Quanto mais se dá mais se tem.,0.6837722339831621
58,"Não se comenta Shakespeare, admira-se.",0.75
173,"A verdade não é, de modo algum, aquilo que se demonstra, mas aquilo que se simplifica.",0.7628291754873716
168,"Na vida, não existem soluções. Existem forças em marcha: é preciso criá-las e, então, a elas seguem-se as soluções.",0.7738664915666773
60,"A vida é a arte do encontro, embora haja tanto desencontro pela vida.",0.7958758547680684
113,"Da perfeição da vida 

Por que prender a vida em conceitos e normas? 
O belo e o feio... O bom e o mau... Dor e prazer... 
Tudo, afinal, são formas 
E não degraus do ser!",0.8030403507104162
131,Mas que susto não irão levar essas velhas carolas se Deus existe mesmo...,0.803883864861816
149,"[A Carta]
Quando completei quinze anos, meu compenetrado padrinho me escreveu uma carta muito, muito séria: tinha até ponto-e-vírgula! Nunca fiquei tão impressionado na minha vida.",0.8063508326896291
153,"[Leituras]
- Você ainda não leu O Significado do Significado? Não? Assim você nunca fica em dia.
- Mas eu estou só esperando que apareça O Significado do Significado do Significado.",0.8126828376836612
83,"Pergunta errada

Se eu acredito em Deus? Mas que valor poderia ter minha resposta, afirmativa ou não? O que importa é saber se Deus acredita em mim.",0.8153627635310009
109,Se eu amo o meu semelhante? Sim. Mas onde encontrar o meu semelhante?,0.8174258141649446
144,"Mau Humor
Os que metem uma bala na cabeça retiram-se deste mundo batendo com a porta.",0.8232233047033631
177,A ordem não cria a vida.,0.8232233047033631
55,Não se perde nada em parecer mau; ganha-se tanto como em sê-lo.,0.8333333333333334
6,"Não é amigo aquele que alardeia a amizade: é traficante; a amizade sente-se, não se diz...",0.8377785788692375
25,"Não é amigo aquele que alardeia a amizade: é traficante; a amizade sente-se, não se diz...",0.8377785788692375
88,Sonhar é acordar-se para dentro.,0.841886116991581
125,Se um poeta consegue um dia expressar as suas dores com toda a felicidade como é que poderá ser infeliz?,0.841886116991581
96,A poesia não se entrega a quem a define.,0.8556624327025936
65,A amizade é um amor que nunca morre.,0.8556624327025936
147,"Não olhe para os lados

Seja um poema, uma tela ou o que for, não procure ser diferente. O segredo único está em ser indiferente.",0.8639172365120457
30,Não se ama duas vezes a mesma mulher.,0.8663693790437879
18,Suporta-se com paciência a cólica do próximo.,0.8663693790437879
11,Não se ama duas vezes a mesma mulher.,0.8663693790437879
37,Suporta-se com paciência a cólica do próximo.,0.8663693790437879
70,"DO AMOROSO ESQUECIMENTO 

Eu, agora - que desfecho!
Já nem penso mais em ti...
Mas será que nunca deixo
De lembrar que te esqueci?",0.8686935671402775
151,"Só as crianças e os velhos conhecem a volúpia de viver dia-a-dia, hora a hora, e suas esperas e desejos nunca se estendem além de cinco minutos...",0.8686935671402775
175,Amem quem vos comanda. Mas sem lhes dizer.,0.875
136,"[Busca]
Subnutrido de beleza, meu cachorro-poema vai farejando poesia em tudo, pois nunca se sabe quanto tesouro andará desperdiçado por aí...
Quanto filhotinho de estrela atirado no lixo!",0.8769085090206673
71,"DAS UTOPIAS

Se as coisas são inatingíveis... ora!
Não é motivo para não querê-las...
Que tristes os caminhos, se não fora
A presença distante das estrelas!",0.8804771390665607
24,"Creia em si, mas não duvide sempre dos outros.",0.882148869802242
51,Suporta-se com muita paciência a dor no fígado alheio.,0.882148869802242
5,"Creia em si, mas não duvide sempre dos outros.",0.882148869802242
141,"Se não fosse o Van Gogh, o que seria do amarelo?",0.882148869802242
112,"Do bem e do mal
Todos tem seu encanto: os santos e os corruptos.
Não há coisa na vida inteiramente má.
Tu dizes que a verdade produz frutos...
Já viste as flores que a mentira dá?",0.8852921330647191
158,O verdadeiro homem mede a sua força quando se defronta com o obstáculo.,0.8881966011250105
156,"Só se vê bem com o coração, o essencial é invisível aos olhos.",0.8881966011250105
116,Minha vida é uma colcha de retalhos. Todos da mesma cor.,0.8881966011250105
9,A vida sem luta é um mar morto no centro do organismo universal.,0.8933996418221948
85,A alma é essa coisa que nos pergunta se a alma existe.,0.8933996418221948
28,A vida sem luta é um mar morto no centro do organismo universal.,0.8933996418221948
74,"Se me esqueceres, só uma coisa, esquece-me bem devagarinho.",0.8979379273840342
162,"Num mundo que se faz deserto, temos sede de encontrar um amigo.",0.8979379273840342
152,"URBANÍSTICA
Como seriam belas as estátuas equestres se constassem apenas dos cavalos!",0.8979379273840342
155,"Amar não é olhar um para o outro, é olhar juntos na mesma direção.",0.901941932430908
166,"Apenas se vê bem com o coração, pois nas horas graves os olhos ficam cegos.",0.9055088817476932
87,E um dia os homens descobrirão que esses discos voadores estavam apenas estudando a vida dos insetos...,0.9087129070824723
